EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 03-11-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 2205,907627,SAINT GIRONS                            ,FR,+43:00:00,+001:06:00, 411, TG5,19820113,20170930,     ,                    
 2207,107225,MONTPELLIER-AEROPORT                    ,FR,+43:34:37,+003:57:47,   2, TG5,19460101,20161231,   10,Philippe Dandin                                   
 2207,907643,MONTPELLIER                             ,FR,+43:35:00,+003:58:00,   8, TG5,19820113,20170930,     ,                    
 2209,107227,AJACCIO                                 ,FR,+41:55:05,+008:47:34,   5, TG5,19491001,20161231,   10,Philippe Dandin                                   
 2209,907761,AJACCIO                                 ,FR,+41:55:00,+008:48:00,   9, TG5,19820113,20170930,     ,                    
11243,171617,TROYES-BARBEREY                         ,FR,+48:19:29,+004:01:12, 112, TG5,19750501,20161231,   10,Philippe Dandin                                   
11243,907168,TROYES-BARBEREY                         ,FR,+48:19:00,+004:01:00, 118, TG5,19820113,20170930,     ,                    
11244,171621,PTE DE CHASSIRON                        ,FR,+46:02:49,-001:24:42,  11, TG5,19170101,20161231,   10,Philippe Dandin                                   
11244,907314,POINTE DE CHASSIRON                     ,FR,+46:03:00,-001:25:00,  23, TG5,19820113,20170930,     ,                    
11245,171625,PLOUMANAC'H                             ,FR,+48:49:33,-003:28:23,  55, TG5,19470804,20161231,   10,Philippe Dandin                                   
11245,907117,PLOUMANAC H                             ,FR,+48:50:00,-003:28:00,  58, TG5,19820113,20170930,     ,                    
11246,171630,NANCY-OCHEY                             ,FR,+48:34:52,+005:57:35, 336, TG5,19661101,20161231,   10,Philippe Dandin                                   
11246,907181,NANCY-OCHEY                             ,FR,+48:35:00,+005:58:00, 343, TG5,19820113,20170930,     ,                    
11247,171634,BELLE ILE - LE TALUT                    ,FR,+47:17:40,-003:13:06,  34, TG5,19300401,20161231,   10,Philippe Dandin                                   
11247,907207,BELLE ILE-LE TALUT                      ,FR,+47:18:00,-003:13:00,  43, TG5,19820113,20170930,     ,                    
11248,171638,CAP CEPET                               ,FR,+43:04:46,+005:56:27, 115, TG5,19681001,20161231,   10,Philippe Dandin                                   
11248,907661,CAP CEPET                               ,FR,+43:05:00,+005:56:00, 133, TG5,19820114,20170930,     ,                    
11249,171642,ORLY                                    ,FR,+48:43:01,+002:23:04,  89, TG5,19210301,20161231,   10,Philippe Dandin                                   
11249,907149,PARIS-ORLY                              ,FR,+48:43:00,+002:23:00,  90, TG5,19820113,20170930,     ,                    
